Name of commune;Residents;Change in %;Population density per km²;Foreign nationals in %;Crude marriage rate;Crude divorce rate;Crude birth rate;Crude mortality rate;Private households;Size of households in persons;Total surface area in km2  1);Settlement and urban area in %;Change in ha;Agricultural area in %;Change in ha;Wooded area in %;Unproductive area in %;Employed total;Primary sector;Secondary sector;Tertiary sector;;Business establishments total;Primary sector;Secondary sector;Tertiary sector;Dwelling vacancy rate;New housing units per 1000 residents;Social assistance rate;FDP/PLR 2);CVP;SP;SVP;EVP/CSP;GLP;BDP;PdA/Sol.;GPS;Small right-wing parties;bat_total;bat_sans_log;batlog_tot;maison_indiv;bat_log_1_2;bat_log_3_9;batlog_10p;log_total;log_1_piece;log_2_pieces;log_3_pieces;log_4_pieces;log_5_pieces;log_6plus_pieces;log_inc_pieces;population;pop_hommes;pop_femmes;pop_ch;pop_etr;age_0_19;age_20_64;age_65_plus;globalid;Penal infraction 2019;Bakery ;Park;Fitness;Restaurant;Bars
Jussy;1 241;8,1;109;22,0;2,4;1,6;6,3;6,3;433;2,8;11,4;8,1;18;55,0;-19;36,7;0,2;379;73;58;248;;105;20;15;70;0,56;0,0;1,5;29,2;6,8;4,9;20,1;1,8;8,1;1,6;2,7;19,2;3,0;341,0;41;300;171;246;53;1;532;33;43;112;127;85;132;0;1234;597;637;982;252;287;691;256;{7D79B3F5-070E-4F77-B9D3-7BF9F945C0B6};96;1;3;0;3;0
Laconnex;684;13,2;179;13,7;1,4;1,4;7,2;1,4;229;3,0;3,8;10,5;-9;79,8;6;8,9;0,8;121;37;13;71;;47;7;7;33;0,80;0,0;X;17,7;23,3;7,6;13,2;0,3;5,8;0,2;3,6;23,3;3,8;207,0;11;196;158;189;4;3;263;7;19;40;83;58;56;0;715;341;374;621;94;146;418;151;{88ED14AA-B644-4518-9FCE-E52C8E4C1841};116;8;17;3;62;1
Lancy;33 377;16,6;6 997;35,0;4,2;2,0;12,1;6,3;13 061;2,5;4,8;88,0;30;5,2;-22;6,4;0,4;19 560;36;2 224;17 300;;X;X;310;1 524;0,28;12,9;5,3;12,2;8,5;17,2;13,6;1,0;5,0;0,4;6,9;23,9;9,4;2243,0;330;1913;1001;1155;240;518;14995;1348;2914;5062;3903;1201;567;0;34044;16471;17573;22099;11945;7982;20812;5250;{A6D52415-92A1-4922-BB17-E0B2910A5C7E};2257;2;3;0;5;0
Meinier;2 116;10,8;304;19,5;2,8;0,9;8,5;6,6;804;2,6;7,0;14,6;17;80,5;-22;3,3;1,6;830;79;289;462;;180;19;48;113;0,44;1,9;1,6;20,2;10,1;6,8;17,7;1,2;4,9;1,7;6,0;25,0;3,6;394,0;42;352;202;266;71;15;917;38;150;271;219;130;109;0;2124;1012;1112;1709;415;493;1202;429;{3542F7D8-1290-4F01-9A43-BB9530B43C49};96;5;10;5;66;3
Meyrin;25 745;19,7;2 590;43,7;4,3;2,0;13,0;5,9;9 574;2,6;9,9;59,1;77;35,8;-72;4,2;0,9;23 190;55;4 714;18 421;;1 835;8;300;1 527;0,67;23,7;7,1;12,5;7,8;17,0;17,4;1,1;3,7;0,5;7,6;21,6;8,6;2035,0;525;1510;745;869;170;471;10905;1050;2258;3605;2725;922;343;2;26157;13070;13087;14648;11509;5949;15948;4260;{75E92C31-7E85-4505-B529-F39493F42E11};1785;3;6;0;19;0
Onex;19 058;8,0;6 758;36,0;4,8;2,7;12,7;8,8;7 740;2,4;2,8;77,3;26;6,0;-19;13,1;3,5;X;X;872;3 788;;X;X;100;585;0,20;0,3;6,5;12,8;7,2;16,7;15,0;0,8;4,8;0,4;7,2;23,1;8,6;1378,0;98;1280;786;856;185;239;8441;1033;1668;2820;1812;743;365;0;18992;9137;9855;12065;6927;4123;11228;3641;{2B9CDF06-4F84-4611-9DA6-6B65B3FA1D11};1160;0;3;0;5;0
Perly-Certoux;3 099;7,2;1 220;24,8;4,6;2,0;9,4;4,6;1 200;2,6;2,5;27,0;11;69,5;-11;3,1;0,4;1 670;75;668;927;;213;8;41;164;0,66;0,0;3,6;15,0;10,5;9,2;17,6;0,4;6,4;0,1;6,0;26,8;5,9;407,0;41;366;160;205;134;27;1399;93;182;548;358;134;84;0;3131;1480;1651;2369;762;704;1813;614;{2B3DF25E-DC5B-45B2-85C8-A4D713411BB6};213;1;3;7;31;4
Plan-les-Ouates;10 620;6,4;1 815;22,4;3,9;2,4;7,4;5,1;3 643;2,9;5,9;51,4;106;44,5;-105;3,6;0,5;15 075;28;7 678;7 369;;950;12;205;733;0,23;0,8;3,7;18,8;11,5;11,5;14,0;0,5;5,9;0,2;4,8;24,0;6,9;1977,0;193;1784;1342;1515;171;98;4042;236;389;908;1381;725;403;0;10628;5197;5431;8248;2380;2602;6452;1574;{BFC5BB80-6D2A-4B2E-9951-B2188F3D83AE};600;8;3;5;11;1
Pregny-Chambésy;3 775;3,4;1 165;50,4;2,4;0,5;6,0;7,3;1 239;2,8;3,2;70,5;35;15,4;-30;13,2;0,9;700;13;24;663;;X;X;14;156;0,46;5,5;0,6;30,0;7,6;9,5;13,6;0,9;7,1;0,1;4,1;21,0;4,4;1088,0;77;1011;788;920;87;4;1523;69;155;269;338;351;341;0;3735;1817;1918;1861;1874;868;2179;688;{B347A94B-D8FD-4B33-BAAE-427413763A11};164;0;1;0;2;0
Presinge;723;16,2;154;20,1;1,4;1,4;12,5;22,3;231;2,8;4,7;12,7;11;68,0;-13;18,6;0,6;212;21;10;181;;51;9;7;35;0,38;8,7;1,7;18,3;8,3;8,3;13,8;0,5;3,9;2,3;7,4;30,7;2,7;167,0;20;147;98;122;23;2;265;9;30;62;68;33;63;0;708;339;369;558;150;141;397;170;{7EBCDB90-B758-47E6-982D-03B6158B1F5A};115;0;2;0;4;0
Puplinge;2 468;21,5;924;23,2;6,1;2,0;15,0;2,4;986;2,5;2,7;21,1;5;74,3;-9;4,5;0,0;1 128;22;40;1 066;;120;6;13;101;0,00;0,0;3,8;15,9;8,2;9,4;15,5;0,7;8,0;1,0;3,6;31,1;4,9;385,0;39;346;189;224;106;16;1085;56;125;332;337;137;98;0;2488;1176;1312;1899;589;583;1459;446;{63BAB64B-2726-4D63-8DE0-7B45585B5356};264;0;1;0;2;0
Russin;541;15,8;110;27,4;9,2;1,8;9,2;3,7;193;2,7;4,9;13,6;-37;53,1;4;21,1;12,2;133;39;45;49;;39;8;5;26;0,89;0,0;1,9;29,7;5,4;7,6;10,0;0,0;5,8;0,2;5,8;28,8;4,4;171,0;24;147;95;132;15;0;226;11;24;54;72;19;46;0;539;278;261;377;162;96;355;88;{41596AC4-D885-46A6-8C5E-5898FE33F72A};115;4;1;0;21;0
Satigny;4 273;18,7;226;25,9;1,7;1,2;7,1;4,5;1 363;3,0;18,9;19,5;71;59,5;-76;18,5;2,5;9 424;252;4 312;4 860;;766;43;228;495;0,12;0,7;1,9;21,5;8,9;9,0;13,6;1,1;7,8;0,3;4,5;25,3;5,8;963,0;296;667;332;499;152;16;1628;128;157;422;443;277;201;0;4320;2200;2120;3145;1175;1119;2565;636;{033A32DE-6E14-445D-9362-4F5CA27F2FAD};316;1;1;0;2;0
Soral;955;31,4;325;18,4;4,4;2,2;15,5;12,2;322;2,8;2,9;12,6;14;83,3;-11;4,1;0,0;149;44;8;97;;36;14;4;18;0,27;1,2;X;24,0;16,4;6,1;14,1;0,7;3,4;0,4;5,6;24,7;2,7;208,0;10;198;123;163;34;1;365;16;23;98;93;76;57;2;976;466;510;798;178;224;554;198;{F60B898C-A0EE-49A1-8375-C4E98EF47650};36;2;1;10;21;3
Thônex;14 182;4,6;3 713;34,2;3,5;2,8;9,8;6,9;5 638;2,5;3,8;71,9;34;22,7;-34;4,4;1,0;5 862;14;1 256;4 592;;716;5;103;608;0,24;1,8;6,6;20,9;9,3;12,3;16,6;0,9;5,9;0,4;4,7;21,6;5,3;1946,0;151;1795;1393;1480;130;185;6542;1236;935;1598;1515;683;573;2;14672;7111;7561;9428;5244;3055;8893;2724;{128404DB-351E-4B4F-91E7-AE3C92BF71D5};1110;1;3;0;6;0
Troinex;2 520;15,3;735;21,8;1,2;0,8;10,0;4,4;877;2,8;3,4;26,4;12;66,4;-13;7,2;0,0;529;143;76;310;;126;9;17;100;0,50;7,9;3,6;32,1;9,4;6,2;8,8;0,4;6,5;0,4;4,7;27,3;2,6;629,0;36;593;470;534;49;10;999;35;136;213;235;195;185;0;2553;1269;1284;1990;563;612;1533;408;{918E91D1-A027-4686-BBCE-DAC0BD3198AE};213;1;3;0;4;0
Vandoeuvres;2 577;-3,8;583;28,9;3,2;2,0;6,7;4,0;866;2,9;4,4;55,3;39;38,8;-32;5,9;0,0;544;24;77;443;;142;4;11;127;1,35;2,8;0,4;42,0;3,6;4,2;18,9;0,2;6,0;0,5;3,8;16,8;2,6;878,0;57;821;713;774;42;5;1119;39;58;144;228;237;413;0;2798;1373;1425;1918;880;680;1636;482;{DE73A7BB-0A09-4DEF-A901-067DF11B019A};126;7;2;7;51;2
Vernier;34 958;6,4;4 546;43,8;3,9;2,6;10,7;5,5;13 095;2,6;7,7;72,8;67;13,2;-59;9,6;4,4;20 547;14;5 476;15 057;;1 884;5;415;1 464;0,27;0,4;8,4;9,6;5,9;21,1;15,7;1,1;3,7;0,4;7,3;21,3;11,4;2910,0;498;2412;1525;1680;221;511;14745;1480;3280;4903;3409;1198;475;0;35151;17580;17571;19489;15662;7751;22051;5349;{2EB81709-F516-43F6-8323-A187E0B8D4AB};3051;2;1;7;35;2
Versoix;13 411;3,6;1 277;41,7;3,7;2,3;8,7;8,0;4 769;2,6;10,5;32,3;42;29,1;-35;37,8;0,8;4 315;31;414;3 870;;736;14;97;625;0,26;4,4;5,0;16,6;8,5;12,9;14,0;0,5;4,6;0,4;5,3;29,9;5,5;1595,0;178;1417;906;1065;188;164;5371;326;818;1741;1364;668;453;1;13380;6434;6946;7734;5646;3305;7927;2148;{AC3FD623-5374-48B5-A8BA-D4B9093EB84B};832;3;3;1;14;0
Veyrier;11 887;18,8;1 829;27,5;2,6;1,8;7,4;12,8;3 915;2,9;6,5;50,3;68;33,3;-63;13,8;2,6;2 450;35;271;2 144;;490;7;58;425;0,23;3,3;2,3;28,5;10,4;8,7;12,7;0,6;8,4;0,4;3,9;21,7;3,1;2788,0;122,0;2666,0;2295,0;2432,0;183,0;51,0;4354,0;259,0;340,0;782,0;1176,0;942,0;854,0;1,0;11880,0;5802,0;6078,0;8582,0;3298,0;2941,0;6816,0;2123,0;{4E48EE1F-4373-4B08-8426-56F0607F8E3F};696,0;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
